symbol	long	syllabic	consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constricted_gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense	diphthong	alveolar_diph	labiovelar_diph	stress	primary_stress	segment
UW2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	+	-	-	+	+	-	-	-	+	-	+
IH2	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	-	-	-	-	+	-	+
UH2	-	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	+	-	-	+	-	-	-	-	+	-	+
EY2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	+	-	+	+	+	-	+	-	+
OW2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	-	-	-	+	+	+	-	+	+	-	+
EH2	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	+	-	-	-	-	-	+	-	+
ER2	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	+
AH2	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	-	-	-	-	+	-	+
AO2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	-	-	-	+	-	-	-	-	+	-	+
AE2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	+	-	0	-	-	-	+	-	+
AA2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0	-	-	-	+	-	+
AY2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0	+	+	-	+	-	+
AW2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	+	-	0	+	-	+	+	-	+
OY2	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	-	-	-	+	-	+	+	-	+	-	+
IY0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	+	-	-	-	-	-	+
UW0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	+	-	-	+	+	-	-	-	-	-	+
IH0	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	-	-	-	-	-	-	+
UH0	-	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	+	-	-	+	-	-	-	-	-	-	+
EY0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	+	-	+	+	+	-	-	-	+
OW0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	-	-	-	+	+	+	-	+	-	-	+
EH0	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	+	-	-	-	-	-	-	-	+
ER0	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+
AH0	-	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	-	-	-	-	-	-	+
AO0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	-	-	-	+	-	-	-	-	-	-	+
AE0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	+	-	0	-	-	-	-	-	+
AA0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0	-	-	-	-	-	+
AY0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0	+	+	-	-	-	+
AW0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	+	-	0	+	-	+	-	-	+
OY0	+	+	-	+	+	0	+	-	-	-	+	-	-	-	+	-	-	0	0	0	-	+	-	-	-	+	-	+	+	-	-	-	+
